Tie hou zi                          (1977, Action, Drama                 Kuan Tai Chen                 Kuan Tai Chen, Kuan-Chun Ch...]
Cabin Fever                         (2016, Horror                        Travis Zariwny                Gage Golightly, Matthew Dad...]
L'amour braque                      (1985, Comedy, Drama, Romance        Andrzej Zulawski              Sophie Marceau, Francis Hus...]
Cry of the City                     (1948, Crime, Drama, Film-Noir       Robert Siodmak                Victor Mature, Richard Cont...]
The Follower                        (2017, Horror, Thriller              Kévin Mendiboure              Nicolas Shake, Chloé Dumas,...]
The Revenger: An Unromantic Comedy  (2019, Comedy                        Mark Murphy                   Robert Kazinsky, Samantha B...]
Colosio: El asesinato               (2012, Thriller                      Carlos Bolado                 José María Yazpik, Emiliano...]
He's Just Not That Into You         (2009, Comedy, Drama, Romance        Ken Kwapis                    Morgan Lily, Trenton Rogers...]
Good Intentions                     (2010, Comedy                        Jim Issa                      Luke Perry, Elaine Hendrix,...]
The Manson Family Massacre          (2019, Crime, Horror, Thriller       Andrew Jones                  Brendee Green, Derek Nelson...]
Kireedam                            (2007, Action, Drama                 A.L. Vijay, A.L. Vijay        Ajith Kumar, Trisha Krishna...]
Bad Jim                             (1990, Western                       Clyde Ware                    James Brolin, Richard Round...]
Twilight of Honor                   (1963, Crime, Drama                  Boris Sagal                   Richard Chamberlain, Nick A...]
Transformers: Age of Extinction     (2014, Action, Adventure, Sci-Fi     Michael Bay                   Mark Wahlberg, Stanley Tucc...]
Les âmes fortes                     (2001, Drama, Romance                Raoul Ruiz                    Laetitia Casta, Frédéric Di...]
Gomennasai                          (2011, Horror                        Mari Asato                    Airi Suzuki, Miyabi Natsuya...]
Kereta Hantu Manggarai              (2008, Horror                        Nayato Fio Nuala              Sheila Marcia, Melvin Giova...]
Das gefrorene Herz                  (1980, Comedy, Drama                 Xavier Koller                 Sigfrit Steiner, Emilia Kra...]
Oglan Bizim Kiz Bizim               (2016, Comedy, Romance               Semra Dündar                  Aras Aydin, Melis Babadag, ...]
And Then Came Love                  (2007, Comedy, Romance               Richard Schenkman             Vanessa Williams, Kevin Dan...]
After Tomorrow                      (1932, Drama                         Frank Borzage                 Charles Farrell, Marian Nix...]
Kuso subarashii kono sekai          (2013, Horror                        Kayoko Asakura                Kkobbi Kim, Nanako Ohata, A...]
The Manor                           (2018, Horror                        Jonathon Schermerhorn         Christina Robinson, Rachel ...]
Comment ça va?                      (1976, Drama                         Jean-Luc Godard, Anne-Marie...Michel Marot, Anne-Marie Mi...]
Camera Obscura                      (2017, Horror, Thriller              Aaron B. Koontz               Christopher Denham, Nadja B...]
The Second Chance                   (2006, Drama                         Steve Taylor                  Michael W. Smith, Jeff Obaf...]
Judy & Punch                        (2019, Comedy, Crime, Drama          Mirrah Foulkes                Mia Wasikowska, Damon Herri...]
Suepeullit                          (2016, Action, Drama, Sport          Kook-Hee Choi                 Da-wit Lee, Jung-hyun Lee, ...]
Redball                             (1999, Thriller                      Jon Hewitt                    Belinda McClory, John Brump...]
Under Western Stars                 (1938, Action, Adventure, Music      Joseph Kane                   Roy Rogers, Smiley Burnette...]
Ouija: Origin of Evil               (2016, Drama, Horror, Mystery        Mike Flanagan                 Annalise Basso, Elizabeth R...]
Bedside Manner                      (1945, Comedy                        Andrew L. Stone               John Carroll, Ruth Hussey, ...]
Resurrection Mary                   (2007, Horror, Romance, Thriller     Sean Michael Beyer            Kevin G. Schmidt, Pamela Je...]
Lakshmi Narasimha                   (2004, Action, Drama                 Jayant Paranji                Asin, Prakash Raj, K. Viswa...]
I bambini ci guardano               (1944, Drama                         Vittorio De Sica              Emilio Cigoli, Luciano De A...]
Destination Gobi                    (1953, Adventure, Drama, War         Robert Wise                   Richard Widmark, Don Taylor...]
Sethupathi                          (2016, Action, Thriller              S.U. Arun Kumar               Vijay Sethupathi, Ramya Nam...]
Zigs                                (2001, Comedy, Drama                 Mars Callahan                 Jason Priestley, Peter Dobs...]
Fremder Freund                      (2003, Drama                         Elmar Fischer                 Fatih Alas, Ercan Durmaz, E...]
Mig og min lillebror og Bølle       (1969, Comedy                        Lau Lauritzen, Lisbeth Movin  Dirch Passer, Poul Reichhar...]
Mad Max: Fury Road                  (2015, Action, Adventure, Sci-Fi     George Miller                 Tom Hardy, Charlize Theron,...]
Head Above Water                    (1996, Comedy, Thriller              Jim Wilson                    Harvey Keitel, Cameron Diaz...]
Der Vorname                         (2018, Comedy                        Sönke Wortmann                Christoph Maria Herbst, Flo...]
Ma and Pa Kettle Go to Town         (1950, Comedy, Crime                 Charles Lamont                Marjorie Main, Percy Kilbri...]
Dil Vil Pyar Vyar                   (2002, Drama, Musical, Romance       Ananth Narayan Mahadevan      Madhavan, Jimmy Sheirgill, ...]
Mahanagar                           (1963, Drama                         Satyajit Ray                  Anil Chatterjee, Madhabi Mu...]
